#OFFSET: 589
ricky:  And karl... he couldn't stop questioning to Johnathon about
Unknown:  He gonna continue talking just legal nothing. Just leaving me up man. You know if I boost and it's my chihuahua, you're not taking the piss higher. No, not at all. No good. You do. I need all this magic box. Yeah leaning on an apple and that's where it's at. So it just said is the world's smallest man. Do you know a policeman said about his had been like a light bulb? I don't know what that meant. And I start right that that will do that sort of cheeky really weak do nothing. That was unlike Monday. All right. I found that I thought that's done print it off forgot to get it off the
#OFFSET: 2861
Unknown:  A photocopier someone's nicked it play record that you've got to you know, it's just that I don't see no. Can I just say no Paul. Please know if I say let's actually configure the week and you haven't done your research. You haven't got the information just tell us you can't do it but don't lead us on don't say that in a shroud. Yeah, I'll hold your hand up to me and go out. All is that it's nothing. That's right. It's nothing. I think it was that big because he was leaning on an Apple not enough information that magic Trevor McDonald coming are going some news some stuff. How big is that?
#OFFSET: 2891
Unknown:  I bet you think that is yeah, there was a fella. Yeah coming up after it Kristin Moore Chris Tarrant it by record. I just I'm angry. I'm actually angrier if monkey news is anyway in any way similar. You've really pulled your finger up with that be good. That's what Buster's answers neck.
#OFFSET: 2920
Unknown:  Supersonic how Isis on Xfm 104.9 right getting through it. It's the rock Busters is dat the requisite results ready because it's at this is an are very important result is whether they stay in the Premiership or are relegated. This is the playoffs for Carl. Okay, you need three points. You need three points.
#OFFSET: 2945
Unknown:  Tie up Carl gone, right the a lot of right answers and that that's that's that's in your favor. You know. Okay, the first clue was the doctor said part of the foot and the leg was no good. So you took them off you threw him away. Yeah the initials TB. Yeah right gone.
#OFFSET: 2970
Unknown:  Toe knee Bennett. All right, that's Tony Bennett. Tony Bennett. Tony Bennett. Yeah, okay as a warning that's a yellow card as a yellow card, but if you can still get the points because his name's not been it.
#OFFSET: 2989
Unknown:  Tony brilliant Tony perfect upon toe knee is name's Tony. Perfect. Bennett knows name's Bennett see what was that is is in London this week as well. So I don't know if it's sold out - are you on drugs or I view I did I actually crack your head did I actually give you some brain damage because you're worse than usual now. It's like go on the second one.
Unknown: 
#OFFSET: 3021
Unknown:  Not Scottish fellow. We've got a speed this show. I'm going on I'm just gonna make sure it's right. We don't want to look stupid. That's Scottish monster has got a bit of a tan. I don't think we can look stupid in this material at the TTD that Scottish monsters got a bit of a tan the answer there the darkness I'll give you that. All right. Well done and the last wall goal. The 60 singer had are totally the way whilst having it away. You won't be seeing him again the initials F&M. That's Faith No More.
#OFFSET: 3051
Unknown:  Adam Faith No doesn't count. Why not?
#OFFSET: 3057
Unknown:  Adam Faith No More, I don't fight no more. So so what is the clue is the clue Adam Faith or is it fake their horseface dispose just Faith No More singer. So we got that that's not safe the next week. What is the winner? What do you make of it? You've got the deciding vote roulette. Come on. I mean, you know my family where it works right now, but he's mixed-up what cryptic isn't that because it start because the the fella I mean Adam Faith did they actually die having it away the knee
#OFFSET: 3087
Unknown:  Yeah, so it's all about it's all right, all the facts are right.
#OFFSET: 3091
Unknown:  Anyway, so Karthik is got a reprieve. I think I'll give it to him. I think I've got to give it to him. The last thing I have is we actually pulled out the bad that one there's no there's no Jamaican fellas. Let us see an icebergs or you know, Whitney Houston The close you came to is Bennett Bennett and I'll give him let him off that I'll be a fair ref are well very enough and well done to you know, I'm always a fan of names that for some reason just destroyed me or tickle me. Yeah, and this week the lucky winner is Dave suckling.
#OFFSET: 3124
Unknown:  There's nothing there's nothing amazing about that. There's someone out to Dave suckling. Okay, so well suckling wins its tackling takes the prized Enterprises and well done to him. I guess there's more of that next week and we're fast approaching the end of the show Rick. I know you are excited about that as I well. I know but that is the best to come because we've still got Bruce Springsteen coming up now followed by monkey monkey needs an amazing. What an amazing show this is
Unknown: 
#OFFSET: 3165
Unknown:  News excellent. So one can use time on Xfm Karl Pilkington the man in the hot seat Co-op you got for us. Okay one can use this week and we've covered a lot of stuff.
#OFFSET: 3183
Unknown:  We have indeed now. Do you know like there's places where you can go for like we can rest and stuff you. Can you relax you're sitting A Little Spa you have a swim your stuff. Well, they've got a place done for monkeys Crossing at night. They can go there. They can relax forget it out all the stuff. They've got going on their head. You can have a manicure. It's got nice meals. It's not called a manicure though. It's called a Timber kill Beauty.
#OFFSET: 3213
Unknown:  Yeah, right. Look good and stuff. Yeah, we'll look at feel good. Yeah now you might think last pretty normal well.
#OFFSET: 3222
Unknown:  The bit I don't tell you about is it's actually run by a couple of chin. Let's just think about it. Think about it.
#OFFSET: 3252
Unknown:  What do you mean? This is of course is not run by a couple in Tim's what they do get a loan, right if a chimp. Yes all the rest. Yeah.
#OFFSET: 3261
Unknown:  Where would you go to a place? That's run by humans that don't what don't they don't know what chimps needs are my boys is this how did they get it together? How did to talk to chimps what? Mr. And mrs. Chimp went for those? Who are they what we need The Spar I think it started off quite simple. Right? Just just you know, basic basic stuff believe expanded over time because it's become so popular. It's gone mantle down there cool. Now the thing is the problem is this right? That isn't even the the top and
#OFFSET: 3291
Unknown:  Of it right Christ. Our problem is it's been going on and on and on right? It's been it's been earning a lot of money and stuff. The monkeys are happy the monkeys that go there are loving it. They're telling friends and stuff at all coming to it. Now. The problem is it's this little little monkey little man monk in a little woman monkey, right? Yeah. It was sort of girlfriend and boyfriend sort of little open relationship. They can play around if they all the problem is they're not married right now trouble Brewing the lad monkey.
#OFFSET: 3319
Unknown:  Fella monkey. He's getting quite old and the problem is because it's his name that's down on all the whole car. I'm getting scared. Now. Let him finish. It's his name on the business and the problem is
#OFFSET: 3337
Unknown:  Is message is kind of Life. What's gonna happen? Sure, what you have to do I is from what internet how I don't know where to start. Now. This is the conscience. Can we just really end? This is ridiculous. So the problem is
#OFFSET: 3356
Unknown:  The the killer monkeys worried that the male monkey horizontal die what can happen with the business. What's going to happen course right. Now? What do you mean the business? The the hair is my business. It's a joke. You're not listening. His name's on the form the mail make his name. Now. The problem is the woman monkey has got some kids, but because they're not brought blood relatives. It's not going to be only down to that and the core their kids from a previous monkey Merit. Yeah, right, so
#OFFSET: 3386
Unknown:  They're not going to get it and just check this out. Yeah, otherwise don't check the facts. Otherwise, you could look like at what we were spouting shit on the video. Please check the facts for scientific security just a bit worried because they're saying that the people in Ohio, which is where the where they've got the the little hell thing going on. So I'm actually more believable. This Ohio. I thought you meant it was Berkshire in which case it would be rubbish. It looks like the
#OFFSET: 3416
Unknown:  local people try to get in there. They've seen the success of it sure and then what I'm going to take it over and stuff. Yeah, so give me the piece of paper straight away by records. That's the worst. That's the worst one I've ever heard and you are the something wrong with you. You're educationally subnormal.
#OFFSET: 3436
Unknown:  Polishing from us Tim Buckley Lovely song called Wings back next week. Yeah. You can't know you've spoken many times before?
